Date,City,AQI,temperature_2m_mean,temperature_2m_min,temperature_2m_max,relative_humidity_2m_mean,precipitation_sum,wind_speed_10m_mean,latitude,longitude,day_of_week,month,year,AQI_lag_1_day,AQI_lag_7_day
2015-01-08,Bangalore,487.3,21.178250375,16.772001,26.272001,67.48746741666666,0.0,6.661160175,12.9152,77.6103,3,1,2015,421.8,489.7
2015-01-09,Bangalore,8.0,20.740750458333334,16.472,25.672,66.36704983333333,0.0,7.34567195,12.9152,77.6103,4,1,2015,487.3,243.3
2015-01-10,Bangalore,275.2,19.60533375,11.872,26.972,55.076563916666665,0.0,8.459103191666667,12.9152,77.6103,5,1,2015,8.0,148.5
2015-01-11,Bangalore,418.5,18.580333666666665,10.822,26.322,58.36401741666666,0.0,9.325518145833334,12.9152,77.6103,6,1,2015,275.2,423.3
2015-01-12,Bangalore,69.7,18.705333874999997,12.172,26.122002,58.44996533333333,0.0,9.304017854166666,12.9152,77.6103,0,1,2015,418.5,119.5
2015-01-13,Bangalore,100.7,18.753250291666667,12.172,26.372002,56.476180625000005,0.0,8.447609341666666,12.9152,77.6103,1,1,2015,69.7,120.7
2015-01-14,Bangalore,374.0,19.053250208333335,12.172,26.422,58.621184166666666,0.0,8.658394070833333,12.9152,77.6103,2,1,2015,100.7,421.8
2015-01-15,Bangalore,499.4,19.44700033333333,12.922,26.672,55.68142266666666,0.0,8.044591304166667,12.9152,77.6103,3,1,2015,374.0,487.3
2015-01-16,Bangalore,261.6,20.372000541666665,14.672,26.622002,63.943740958333336,0.0,9.0329755375,12.9152,77.6103,4,1,2015,499.4,8.0
2015-01-17,Bangalore,3.8,21.03241720833333,15.372,26.872002,63.46564933333334,0.0,8.440671737499999,12.9152,77.6103,5,1,2015,261.6,275.2
2015-01-18,Bangalore,104.3,21.153250583333335,14.722,27.672,60.926801000000005,0.0,8.210515987500001,12.9152,77.6103,6,1,2015,3.8,418.5
2015-01-19,Bangalore,273.1,21.061583625,14.472,28.022001,60.821556875,0.0,9.711083804166668,12.9152,77.6103,0,1,2015,104.3,69.7
2015-01-20,Bangalore,38.1,20.753250458333333,14.772,26.922,62.87475454166667,0.0,9.543424675,12.9152,77.6103,1,1,2015,273.1,100.7
2015-01-21,Bangalore,384.3,20.167834125,14.322,26.772001,64.078584625,0.0,10.576434845833333,12.9152,77.6103,2,1,2015,38.1,374.0
2015-01-22,Bangalore,22.1,20.842833666666667,14.222,27.572,58.220419125,0.0,8.565533783333333,12.9152,77.6103,3,1,2015,384.3,499.4
2015-01-23,Bangalore,286.9,21.538667125,16.822,27.322,64.46686066666668,0.0,11.576473629166665,12.9152,77.6103,4,1,2015,22.1,261.6
2015-01-24,Bangalore,105.6,21.192833708333335,17.572,26.222,70.17892691666667,0.4,10.422594620833333,12.9152,77.6103,5,1,2015,286.9,3.8
2015-01-25,Bangalore,390.6,21.236584041666667,13.772,28.372002,56.736801625,0.0,11.061417833333332,12.9152,77.6103,6,1,2015,105.6,104.3
2015-01-26,Bangalore,319.9,19.769917083333333,13.222,26.872002,58.373361249999995,0.0,11.963165375,12.9152,77.6103,0,1,2015,390.6,273.1
2015-01-27,Bangalore,78.7,20.242834041666665,13.522,27.122002,66.14502929166666,0.0,12.487829499999998,12.9152,77.6103,1,1,2015,319.9,38.1
2015-01-28,Bangalore,92.9,20.84075054166667,16.022001,27.022001,65.10472816666667,0.0,8.884642275,12.9152,77.6103,2,1,2015,78.7,384.3
2015-01-29,Bangalore,232.0,22.042834166666665,16.472,28.172,64.53882395833334,0.0,8.914732200000001,12.9152,77.6103,3,1,2015,92.9,22.1
2015-01-30,Bangalore,493.9,22.04908383333333,16.272001,28.472,63.95673716666667,0.0,9.882907845833333,12.9152,77.6103,4,1,2015,232.0,286.9
2015-01-31,Bangalore,432.3,21.547000375,15.272,28.322,60.11999195833334,0.0,11.7096325625,12.9152,77.6103,5,1,2015,493.9,105.6
2015-02-01,Bangalore,211.4,21.249083875,14.822,27.722,60.799310166666665,0.0,10.306810416666666,12.9152,77.6103,6,2,2015,432.3,390.6
2015-02-02,Bangalore,480.9,20.511583791666666,14.322,27.222,61.9902145,0.0,13.433500791666667,12.9152,77.6103,0,2,2015,211.4,319.9
2015-02-03,Bangalore,235.7,20.232417083333335,13.572,27.222,59.67391229166666,0.0,11.94325025,12.9152,77.6103,1,2,2015,480.9,78.7
2015-02-04,Bangalore,377.2,20.732417291666668,14.422,27.322,56.540766875,0.0,11.108657000000001,12.9152,77.6103,2,2,2015,235.7,92.9
2015-02-05,Bangalore,6.0,21.165750291666665,14.622,27.822,46.839368541666666,0.0,9.909964458333333,12.9152,77.6103,3,2,2015,377.2,232.0
2015-02-06,Bangalore,93.3,21.086583875,13.822,28.472,52.077570875,0.0,10.676716104166667,12.9152,77.6103,4,2,2015,6.0,493.9
2015-02-07,Bangalore,173.3,21.45741716666667,15.422,28.672,54.358800083333335,0.0,10.069111483333334,12.9152,77.6103,5,2,2015,93.3,432.3
2015-02-08,Bangalore,205.0,21.628250708333336,15.122,29.122002,53.754103750000006,0.0,9.593998033333333,12.9152,77.6103,6,2,2015,173.3,211.4
2015-02-09,Bangalore,64.4,21.082416791666667,14.472,29.072,53.75720091666667,0.0,10.807702541666666,12.9152,77.6103,0,2,2015,205.0,480.9
2015-02-10,Bangalore,440.1,20.544917041666668,14.072,27.672,59.688955375,0.0,8.89882195,12.9152,77.6103,1,2,2015,64.4,235.7
2015-02-11,Bangalore,367.5,21.780333708333334,14.572,28.422,59.451554791666666,0.0,7.885785104166666,12.9152,77.6103,2,2,2015,440.1,377.2
2015-02-12,Bangalore,355.9,22.307417208333334,17.322,28.672,57.129371666666664,0.0,7.4892463000000005,12.9152,77.6103,3,2,2015,367.5,6.0
2015-02-13,Bangalore,330.6,22.74283425,16.572,29.322,54.55844004166667,0.0,7.882495254166667,12.9152,77.6103,4,2,2015,355.9,93.3
2015-02-14,Bangalore,75.0,23.461584,16.622002,30.772001,48.89950775,0.0,7.922355570833333,12.9152,77.6103,5,2,2015,330.6,173.3
2015-02-15,Bangalore,52.2,23.536584083333334,16.372002,30.622002,43.901575,0.0,8.116763825,12.9152,77.6103,6,2,2015,75.0,205.0
2015-02-16,Bangalore,274.3,23.267834041666664,16.522001,30.622002,41.939023291666665,0.0,9.1644793625,12.9152,77.6103,0,2,2015,52.2,64.4
2015-02-17,Bangalore,125.1,23.107417291666668,15.572,30.772001,41.34583933333334,0.0,8.220022625,12.9152,77.6103,1,2,2015,274.3,440.1
2015-02-18,Bangalore,340.5,23.449083958333333,15.272,30.922,42.481452874999995,0.0,8.0245072,12.9152,77.6103,2,2,2015,125.1,367.5
2015-02-19,Bangalore,290.1,23.301167208333336,15.872,30.372002,43.62688333333333,0.0,8.86063,12.9152,77.6103,3,2,2015,340.5,355.9
2015-02-20,Bangalore,110.2,22.542833416666667,15.672,29.822,45.846066416666666,0.0,11.635922012500002,12.9152,77.6103,4,2,2015,290.1,330.6
2015-02-21,Bangalore,253.4,22.290750583333335,15.422,29.472,40.28201558333333,0.0,13.420601374999999,12.9152,77.6103,5,2,2015,110.2,75.0
2015-02-22,Bangalore,362.5,22.605333791666666,15.172,29.622002,37.188235166666665,0.0,13.722385875,12.9152,77.6103,6,2,2015,253.4,52.2
2015-02-23,Bangalore,13.2,22.311583625,15.172,29.722,31.42446525,0.0,12.9720313125,12.9152,77.6103,0,2,2015,362.5,274.3
2015-02-24,Bangalore,95.9,22.194917208333333,13.822,30.122002,31.4382420625,0.0,10.575136895833333,12.9152,77.6103,1,2,2015,13.2,125.1
2015-02-25,Bangalore,227.2,23.013666916666665,14.272,30.422,36.61892741666667,0.0,7.4718647375,12.9152,77.6103,2,2,2015,95.9,340.5
2015-02-26,Bangalore,492.4,24.63450016666667,15.971999,31.172,47.10183091666667,0.0,6.6028130125,12.9152,77.6103,3,2,2015,227.2,290.1
2015-02-27,Bangalore,160.5,25.017833916666664,19.222,31.122002,54.30783579166666,0.0,7.946946454166667,12.9152,77.6103,4,2,2015,492.4,110.2
2015-02-28,Bangalore,408.3,23.280333875,19.622002,29.972,71.48098970833333,0.7,10.699959587499999,12.9152,77.6103,5,2,2015,160.5,253.4
2015-03-01,Bangalore,464.8,23.62200083333333,19.622002,29.472,66.75700833333333,1.5,10.484345754166666,12.9152,77.6103,6,3,2015,408.3,362.5
2015-03-02,Bangalore,123.4,24.634500458333335,19.772001,29.872002,60.83254283333333,0.0,4.543609070833333,12.9152,77.6103,0,3,2015,464.8,13.2
2015-03-03,Bangalore,225.8,23.728250666666668,19.172,29.572,69.016645125,0.6000000000000001,6.143497908333334,12.9152,77.6103,1,3,2015,123.4,95.9
